DSPAWN,DSTART,TIME,TANK_ID,AQUARIA_ID,TILE_ID,COLUMN_NO,ROW_NO,COLUMN_UNIQUE,ROW_UNIQUE,DENSITY,GENUS,SPECIES,ADULT,REP_AQUARIA,REP_TILE,SETTLE_PHOTO,SETTLE_COUNT,OBSERVER,TOOL,SETTLE_TISSUE,SETTLE_S,SETTLE_D,SETTLE_P,SETTLE_DENSITY
13-Apr-17,19-Apr-17,6-7pm,t2,12,138,2,2,24,34,200,Acropora,Acropora_gemmifera,present,A2,T2,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,199,0.005,0.015
13-Apr-17,19-Apr-17,6-7pm,t2,12,139,2,3,24,35,50,Acropora,Acropora_gemmifera,present,A2,T2,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,0,50,0,0.000
13-Apr-17,19-Apr-17,6-7pm,t2,12,140,2,4,24,36,100,Acropora,Acropora_gemmifera,present,A2,T2,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,99,0.01,0.015
13-Apr-17,19-Apr-17,6-7pm,t2,12,141,3,1,25,33,100,Acropora,Acropora_gemmifera,present,A2,T3,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,0,100,0,0.000
13-Apr-17,19-Apr-17,6-7pm,t2,12,142,3,2,25,34,10,Acropora,Acropora_gemmifera,present,A2,T3,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,0,10,0,0.000
13-Apr-17,19-Apr-17,6-7pm,t2,12,143,3,3,25,35,200,Acropora,Acropora_gemmifera,present,A2,T3,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,0,200,0,0.000
13-Apr-17,19-Apr-17,6-7pm,t2,12,144,3,4,25,36,50,Acropora,Acropora_gemmifera,present,A2,T3,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,0,50,0,0.000
13-Apr-17,18-Apr-17,5-7pm,t3,14,157,1,1,26,37,200,Anacropora,Anacropora_spinosa,present,A3,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,100,100,0.5,1.456
13-Apr-17,18-Apr-17,5-7pm,t3,14,158,1,2,26,38,100,Anacropora,Anacropora_spinosa,present,A3,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,59,41,0.59,0.859
13-Apr-17,18-Apr-17,5-7pm,t3,14,159,1,3,26,39,10,Anacropora,Anacropora_spinosa,present,A3,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,2,8,0.2,0.029
13-Apr-17,18-Apr-17,5-7pm,t3,14,160,1,4,26,40,50,Anacropora,Anacropora_spinosa,present,A3,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,16,34,0.32,0.233
13-Apr-17,18-Apr-17,5-7pm,t3,14,161,2,1,27,37,50,Anacropora,Anacropora_spinosa,present,A3,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,25,25,0.5,0.364
13-Apr-17,18-Apr-17,5-7pm,t3,14,162,2,2,27,38,10,Anacropora,Anacropora_spinosa,present,A3,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,2,8,0.2,0.029
13-Apr-17,18-Apr-17,5-7pm,t3,14,164,2,4,27,39,100,Anacropora,Anacropora_spinosa,present,A3,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,50,50,0.5,0.728
12-Apr-17,18-Apr-17,4-5pm,t3,15,169,1,1,28,41,50,Acropora,Acropora_digitifera,absent,A3,T1,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,10,40,0.2,0.146
12-Apr-17,18-Apr-17,4-5pm,t3,15,170,1,2,28,42,100,Acropora,Acropora_digitifera,absent,A3,T1,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,8,92,0.08,0.117
12-Apr-17,18-Apr-17,4-5pm,t3,15,171,1,3,28,43,10,Acropora,Acropora_digitifera,absent,A3,T1,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,8,2,0.8,0.117
12-Apr-17,18-Apr-17,4-5pm,t3,15,172,1,4,28,44,200,Acropora,Acropora_digitifera,absent,A3,T1,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,70,130,0.35,1.020
12-Apr-17,18-Apr-17,4-5pm,t3,15,173,2,1,29,41,10,Acropora,Acropora_digitifera,absent,A3,T2,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,0,10,0,0.000
12-Apr-17,18-Apr-17,4-5pm,t3,15,174,2,2,29,42,200,Acropora,Acropora_digitifera,absent,A3,T2,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,116,84,0.58,1.689
12-Apr-17,18-Apr-17,4-5pm,t3,15,175,2,3,29,43,50,Acropora,Acropora_digitifera,absent,A3,T2,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,38,12,0.76,0.553
12-Apr-17,18-Apr-17,4-5pm,t3,15,176,2,4,29,44,100,Acropora,Acropora_digitifera,absent,A3,T2,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,5,95,0.05,0.073
12-Apr-17,18-Apr-17,4-5pm,t3,15,177,3,1,30,41,100,Acropora,Acropora_digitifera,absent,A3,T3,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,26,74,0.26,0.379
12-Apr-17,18-Apr-17,4-5pm,t3,15,178,3,2,30,42,10,Acropora,Acropora_digitifera,absent,A3,T3,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,5,5,0.5,0.073
12-Apr-17,18-Apr-17,4-5pm,t3,15,179,3,3,30,43,200,Acropora,Acropora_digitifera,absent,A3,T3,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,173,27,0.865,2.520
12-Apr-17,18-Apr-17,4-5pm,t3,15,180,3,4,30,44,50,Acropora,Acropora_digitifera,absent,A3,T3,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,40,10,0.8,0.583
13-Apr-17,19-Apr-17,6-7pm,t3,16,181,1,1,31,45,10,Acropora,Acropora_gemmifera,present,A3,T1,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,0,10,0,0.000
