DSPAWN,DSTART,TIME,TANK_ID,AQUARIA_ID,TILE_ID,COLUMN_NO,ROW_NO,COLUMN_UNIQUE,ROW_UNIQUE,DENSITY,GENUS,SPECIES,ADULT,REP_AQUARIA,REP_TILE,SETTLE_PHOTO,SETTLE_COUNT,OBSERVER,TOOL,SETTLE_TISSUE,SETTLE_S,SETTLE_D,SETTLE_P,SETTLE_DEN,STP1_COUNT,STP1_OBSERVER,STP1_TOOL,STP1_DEAD,STP1_S,STP1_D,STP1_P,TREAT_STP1_P,STP1_DEN,STP2_OBSERVER,TOOL,STP2_DEAD,STP2_S,STP2_D,SET_STP2_D,STP2_P,STP2_DEN,SET_STP2_P,TREAT_STP2_P
13-Apr-17,18-Apr-17,5-7pm,TANK2,8,86,1,2,15,22,100,Anacropora,Anacropora_spinosa,PRESENT,A2,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,61,39,0.61,0.888,01-May-17,Carrie,Disecting,no,54,7,0.89,0.54,0.786,Carrie,Disecting,no,47,7,14,0.87,0.68,0.77,0.47
13-Apr-17,18-Apr-17,5-7pm,TANK2,8,87,1,3,15,23,10,Anacropora,Anacropora_spinosa,PRESENT,A2,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,1,9,0.1,0.015,01-May-17,Carrie,Disecting,no,1,0,1,0.1,0.015,Carrie,Disecting,no,1,0,0,1,0.01,1,0.1
13-Apr-17,18-Apr-17,5-7pm,TANK2,8,88,1,4,15,24,50,Anacropora,Anacropora_spinosa,PRESENT,A2,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,15,35,0.3,0.218,01-May-17,Carrie,Disecting,no,15,0,1,0.3,0.218,Carrie,Disecting,no,15,0,0,1,0.22,1,0.3
13-Apr-17,18-Apr-17,5-7pm,TANK2,8,89,2,1,16,21,50,Anacropora,Anacropora_spinosa,PRESENT,A2,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,15,35,0.3,0.218,01-May-17,Carrie,Disecting,no,15,0,1,0.3,0.218,Carrie,Disecting,no,13,2,2,0.87,0.19,0.87,0.26
13-Apr-17,18-Apr-17,5-7pm,TANK2,8,90,2,2,16,22,10,Anacropora,Anacropora_spinosa,PRESENT,A2,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,1,9,0.1,0.015,01-May-17,Carrie,Disecting,no,1,0,1,0.1,0.015,Carrie,Disecting,no,0,1,1,0,0,0,0
13-Apr-17,18-Apr-17,5-7pm,TANK2,8,92,2,4,16,23,100,Anacropora,Anacropora_spinosa,PRESENT,A2,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,41,59,0.41,0.597,01-May-17,Carrie,Disecting,no,40,1,0.98,0.4,0.583,Carrie,Disecting,no,38,2,3,0.95,0.55,0.93,0.38
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,97,1,1,17,25,50,Anacropora,Anacropora_spinosa,ABSENT,A1,T1,22-Apr-17,23-Apr-17,Carrie,Disecting,no,34,16,0.68,0.495,29-Apr-17,Carrie,Disecting,no,29,5,0.85,0.58,0.422,Carrie,Disecting,no,26,3,8,0.9,0.38,0.76,0.52
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,98,1,2,17,26,100,Anacropora,Anacropora_spinosa,ABSENT,A1,T1,22-Apr-17,23-Apr-17,Carrie,Disecting,no,58,42,0.58,0.845,29-Apr-17,Carrie,Disecting,no,54,4,0.93,0.54,0.786,Carrie,Disecting,no,51,3,7,0.94,0.74,0.88,0.51
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,99,1,3,17,27,10,Anacropora,Anacropora_spinosa,ABSENT,A1,T1,22-Apr-17,23-Apr-17,Carrie,Disecting,no,5,5,0.5,0.073,29-Apr-17,Carrie,Disecting,no,5,0,1,0.5,0.073,Carrie,Disecting,no,5,0,0,1,0.07,1,0.5
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,100,1,4,17,28,200,Anacropora,Anacropora_spinosa,ABSENT,A1,T1,22-Apr-17,23-Apr-17,Carrie,Disecting,no,127,73,0.635,1.85,29-Apr-17,Carrie,Disecting,no,122,5,0.96,0.61,1.777,Carrie,Disecting,no,116,6,11,0.95,1.69,0.91,0.58
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,101,2,1,18,25,10,Anacropora,Anacropora_spinosa,ABSENT,A1,T2,22-Apr-17,23-Apr-17,Carrie,Disecting,no,8,2,0.8,0.117,29-Apr-17,Carrie,Disecting,no,8,0,1,0.8,0.117,Carrie,Disecting,no,7,1,1,0.88,0.1,0.88,0.7
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,102,2,2,18,26,200,Anacropora,Anacropora_spinosa,ABSENT,A1,T2,22-Apr-17,23-Apr-17,Carrie,Disecting,no,136,64,0.68,1.981,29-Apr-17,Carrie,Disecting,no,136,0,1,0.68,1.981,Carrie,Disecting,no,132,4,4,0.97,1.92,0.97,0.66
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,103,2,3,18,27,50,Anacropora,Anacropora_spinosa,ABSENT,A1,T2,22-Apr-17,24-Apr-17,Carrie,Disecting,no,18,32,0.36,0.262,29-Apr-17,Carrie,Disecting,no,18,0,1,0.36,0.262,Carrie,Disecting,no,16,2,2,0.89,0.23,0.89,0.32
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,104,2,4,18,28,100,Anacropora,Anacropora_spinosa,ABSENT,A1,T2,22-Apr-17,24-Apr-17,Carrie,Disecting,no,81,19,0.81,1.18,29-Apr-17,Carrie,Disecting,no,80,1,0.99,0.8,1.165,Carrie,Disecting,no,78,2,3,0.98,1.14,0.96,0.78
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,105,3,1,19,25,100,Anacropora,Anacropora_spinosa,ABSENT,A1,T3,22-Apr-17,24-Apr-17,Carrie,Disecting,no,75,25,0.75,1.092,29-Apr-17,Carrie,Disecting,no,72,3,0.96,0.72,1.049,Carrie,Disecting,no,65,7,10,0.9,0.95,0.87,0.65
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,106,3,2,19,26,10,Anacropora,Anacropora_spinosa,ABSENT,A1,T3,22-Apr-17,24-Apr-17,Carrie,Disecting,no,3,7,0.3,0.044,29-Apr-17,Carrie,Disecting,no,3,0,1,0.3,0.044,Carrie,Disecting,no,3,0,0,1,0.04,1,0.3
